wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val
2019-02-01 00:01:00,2.0,2019-02-01 00:01:00,473.0,2019-02-01 00:01:00,8174.5
2019-02-01 00:11:00,2.0,2019-02-01 00:11:00,475.0,2019-02-01 00:11:00,8194.51
2019-02-01 00:21:00,2.0,2019-02-01 00:21:00,471.0,2019-02-01 00:21:00,7758.51
2019-02-01 00:31:00,2.0,2019-02-01 00:31:00,482.0,2019-02-01 00:31:00,7944.94
2019-02-01 00:41:00,2.0,2019-02-01 00:41:00,475.0,2019-02-01 00:41:00,7874.9
2019-02-01 00:51:00,2.0,2019-02-01 00:51:00,472.0,2019-02-01 00:51:00,7790.9
2019-02-01 01:01:00,3.0,2019-02-01 01:01:00,465.0,2019-02-01 01:01:00,7781.1
2019-02-01 01:11:00,2.0,2019-02-01 01:11:00,459.0,2019-02-01 01:11:00,7300.67
2019-02-01 01:21:00,2.0,2019-02-01 01:21:00,454.0,2019-02-01 01:21:00,7699.5
2019-02-01 01:31:00,2.0,2019-02-01 01:31:00,453.0,2019-02-01 01:31:00,7761.27
2019-02-01 01:41:00,2.0,2019-02-01 01:41:00,452.0,2019-02-01 01:41:00,7654.82
2019-02-01 01:51:00,2.0,2019-02-01 01:51:00,446.0,2019-02-01 01:51:00,7705.1
2019-02-01 02:01:00,2.0,2019-02-01 02:01:00,448.0,2019-02-01 02:01:00,7910.1
2019-02-01 02:11:00,2.0,2019-02-01 02:11:00,437.0,2019-02-01 02:11:00,8423.8
2019-02-01 02:21:00,2.0,2019-02-01 02:21:00,442.0,2019-02-01 02:21:00,8619.08
2019-02-01 02:31:00,2.0,2019-02-01 02:31:00,433.0,2019-02-01 02:31:00,8312.5
2019-02-01 02:41:00,2.0,2019-02-01 02:41:00,433.0,2019-02-01 02:41:00,8142.49
2019-02-01 02:51:00,2.0,2019-02-01 02:51:00,425.0,2019-02-01 02:51:00,7802.44
2019-02-01 03:01:00,2.0,2019-02-01 03:01:00,426.0,2019-02-01 03:01:00,7517.3
2019-02-01 03:11:00,2.0,2019-02-01 03:11:00,420.0,2019-02-01 03:11:00,8427.3
2019-02-01 03:21:00,2.0,2019-02-01 03:21:00,427.0,2019-02-01 03:21:00,7804.2
2019-02-01 03:31:00,2.0,2019-02-01 03:31:00,419.0,2019-02-01 03:31:00,8091.6
2019-02-01 03:41:00,2.0,2019-02-01 03:41:00,418.0,2019-02-01 03:41:00,7478.8
